CITY,ZIPCODE,shape_wkt,POINT_X,POINT_Y
East Boston,2128,POINT (-71.004120000999933 42.388790000000029),-71.00412000099993,42.38879000000002
East Boston,2128,POINT (-71.030479709999952 42.37853662100008),-71.03047970999995,42.37853662100008
East Boston,2128,POINT (-71.033890000999975 42.375270000000057),-71.03389000099997,42.37527000000006
East Boston,2128,POINT (-71.038010132999943 42.378079940000077),-71.03801013299993,42.37807994000008
East Boston,2128,POINT (-71.034920849999935 42.38094877900005),-71.03492084999993,42.38094877900005
East Boston,2128,POINT (-71.040329238999959 42.378281316000027),-71.04032923899996,42.37828131600003
East Boston,2128,POINT (-71.03411936599997 42.369667347000075),-71.03411936599997,42.36966734700008
East Boston,2128,POINT (-71.034306999999956 42.369265000000041),-71.03430699999996,42.36926500000004
East Boston,2128,POINT (-71.034889727999939 42.365554330000066),-71.03488972799994,42.36555433000007
Charlestown,2129,POINT (-71.057491653999989 42.376619841000036),-71.05749165399999,42.37661984100004
Charlestown,2129,POINT (-71.061069999999972 42.380110000000059),-71.06106999999997,42.38011000000006
Charlestown,2129,POINT (-71.067230649999942 42.379071679000049),-71.06723064999994,42.37907167900005
Charlestown,2129,POINT (-71.064429998999969 42.377990000000068),-71.06442999899997,42.377990000000075
Boston,2113,POINT (-71.053369079999982 42.366094067000063),-71.05336907999998,42.36609406700006
Boston,2116,POINT (-71.069049652999979 42.348399622000045),-71.06904965299998,42.348399622000045
Boston,2111,POINT (-71.064919999999972 42.347970000000032),-71.06491999999997,42.34797000000003
Boston,2116,POINT (-71.077969999999937 42.350570000000062),-71.07796999999994,42.35057000000006
Boston,2116,POINT (-71.073519998999984 42.344360000000052),-71.07351999899998,42.34436000000005
Boston,2116,POINT (-71.073519998999984 42.344360000000052),-71.07351999899998,42.34436000000005
Boston,2118,POINT (-71.077739999999949 42.338750000000061),-71.07773999999995,42.33875000000006
Boston,2118,POINT (-71.072460471999989 42.340728882000064),-71.07246047199999,42.340728882000064
Roxbury,2119,POINT (-71.071330811999985 42.32620836500007),-71.07133081199999,42.32620836500007
Dorchester,2125,POINT (-71.058190755999988 42.323167528000056),-71.05819075599999,42.323167528000056
South Boston,2127,POINT (-71.050539999999955 42.33131000000003),-71.05053999999996,42.33131000000003
South Boston,2127,POINT (-71.044889999999953 42.332860000000039),-71.04488999999995,42.33286000000004
South Boston,2127,POINT (-71.038410701999965 42.334862039000029),-71.03841070199996,42.33486203900002
South Boston,2127,POINT (-71.030198163999955 42.332112100000074),-71.03019816399996,42.33211210000008
Dorchester,2125,POINT (-71.059548819999975 42.32037374600003),-71.05954881999997,42.32037374600003
Roxbury,2119,POINT (-71.077908423999986 42.33026654300005),-71.07790842399999,42.33026654300005
West Roxbury,2132,POINT (-71.174339999999972 42.282259999000075),-71.17433999999997,42.28225999900008
South Boston,2127,POINT (-71.05042906999995 42.333565053000029),-71.05042906999995,42.33356505300002
South Boston,2127,POINT (-71.05042906999995 42.333565053000029),-71.05042906999995,42.33356505300002
Roxbury,2119,POINT (-71.081710000999976 42.327020000000061),-71.08171000099998,42.32702000000006
Roxbury,2118,POINT (-71.083839377999936 42.340551106000078),-71.08383937799994,42.34055110600008
Roxbury,2120,POINT (-71.090289999999982 42.331750000000056),-71.09028999999998,42.331750000000056
Roxbury,2120,POINT (-71.088791999999955 42.332030000000032),-71.08879199999996,42.33203000000003
Roxbury,2119,POINT (-71.09096999999997 42.330390000000079),-71.09096999999997,42.33039000000008
Roxbury,2119,POINT (-71.091039999999964 42.325540000000046),-71.09103999999996,42.325540000000046
Roxbury,2119,POINT (-71.086308968999958 42.320939678000059),-71.08630896899996,42.32093967800006
Roxbury,2119,POINT (-71.078938533999974 42.314958190000027),-71.07893853399997,42.31495819000003
Dorchester,2121,POINT (-71.08784045699997 42.315731371000027),-71.08784045699997,42.31573137100003
Boston,2121,POINT (-71.084499999999935 42.31615000000005),-71.08449999999993,42.31615000000005
Roxbury,2119,POINT (-71.092890995999937 42.316325636000045),-71.09289099599994,42.316325636000045
Dorchester,2125,POINT (-71.075626006999983 42.31819398600004),-71.07562600699998,42.31819398600004
Dorchester,2121,POINT (-71.076195999999982 42.31129100000004),-71.07619599999998,42.31129100000004
Dorchester,2121,POINT (-71.075410231999967 42.309045360000027),-71.07541023199997,42.30904536000003
Dorchester,2121,POINT (-71.073858425999958 42.305609467000068),-71.07385842599996,42.305609467000075
Dorchester,2122,POINT (-71.061011182999948 42.308387548000042),-71.06101118299995,42.30838754800004
Dorchester,2124,POINT (-71.070728840999948 42.299917486000027),-71.07072884099995,42.29991748600003
Dorchester,2122,POINT (-71.062220055999944 42.293958066000073),-71.06222005599993,42.29395806600007
Dorchester,2122,POINT (-71.049193474999981 42.294197516000054),-71.04919347499998,42.29419751600005
Dorchester,2122,POINT (-71.053190952999955 42.286541591000059),-71.05319095299996,42.28654159100006
Dorchester,2124,POINT (-71.069569336999962 42.281253069000059),-71.06956933699996,42.28125306900006
Mattapan,2126,POINT (-71.077429973999983 42.277852089000078),-71.07742997399998,42.27785208900008
Dorchester,2124,POINT (-71.08091000099995 42.281410000000051),-71.08091000099995,42.28141000000005
Dorchester,2124,POINT (-71.08091000099995 42.281410000000051),-71.08091000099995,42.28141000000005
Mattapan,2126,POINT (-71.090428999999972 42.276752000000045),-71.09042899999997,42.276752000000045
Dorchester,2124,POINT (-71.076790862999985 42.287783495000042),-71.07679086299999,42.28778349500004
Dorchester,2124,POINT (-71.080374824999979 42.292429445000039),-71.08037482499998,42.29242944500004
Dorchester,2124,POINT (-71.073008035999976 42.28660026700004),-71.07300803599998,42.28660026700004
Dorchester,2124,POINT (-71.075599666999949 42.296779838000077),-71.07559966699995,42.29677983800008
Mattapan,2126,POINT (-71.095001735999972 42.282306003000031),-71.09500173599997,42.28230600300003
Mattapan,2126,POINT (-71.104088841999953 42.275806654000064),-71.10408884199995,42.275806654000064
Mattapan,2126,POINT (-71.104779999999948 42.267250000000047),-71.10477999999995,42.26725000000005
Dorchester,2122,POINT (-71.061728831999972 42.301120129000026),-71.06172883199997,42.301120129000026
Roslindale,2131,POINT (-71.117739999999969 42.285400000000038),-71.11773999999997,42.28540000000004
Roslindale,2131,POINT (-71.107719998999983 42.28675000000004),-71.10771999899998,42.28675000000004
Jamaica Plain,2130,POINT (-71.115939999999966 42.294630000000041),-71.11593999999997,42.29463000000004
Hyde Park,2136,POINT (-71.12345056099997 42.242942111000048),-71.12345056099997,42.24294211100005
Hyde Park,2136,POINT (-71.133319999999969 42.251620001000049),-71.13331999999997,42.25162000100005
Hyde Park,2136,POINT (-71.127319999999941 42.256760000000043),-71.12731999999994,42.25676000000004
Roslindale,2131,POINT (-71.127050000999986 42.274790000000053),-71.12705000099999,42.274790000000046
Roslindale,2131,POINT (-71.12492999899996 42.283630000000073),-71.12492999899996,42.28363000000007
Roslindale,2131,POINT (-71.126839998999969 42.286450000000059),-71.12683999899997,42.28645000000006
Jamaica Plain,2130,POINT (-71.103489998999976 42.308920000000057),-71.10348999899998,42.30892000000006
Roxbury,2119,POINT (-71.098119605999955 42.313929220000034),-71.09811960599995,42.313929220000034
Jamaica Plain,2130,POINT (-71.109599999999944 42.305999999000051),-71.10959999999993,42.30599999900005
Roxbury,2119,POINT (-71.101609999999937 42.316550001000053),-71.10160999999994,42.316550001000046
Jamaica Plain,2130,POINT (-71.105838778999953 42.321776662000048),-71.10583877899995,42.32177666200005
Jamaica Plain,2130,POINT (-71.106935165999971 42.326284092000037),-71.10693516599997,42.32628409200004
Roxbury,2120,POINT (-71.098290000999953 42.333010000000058),-71.09829000099995,42.33301000000006
Boston,2115,POINT (-71.101689999999962 42.337890000000073),-71.10168999999996,42.33789000000007
Boston,2115,POINT (-71.091529999999977 42.341449999000076),-71.09152999999998,42.34144999900008
Roxbury,2120,POINT (-71.099177418999943 42.330579611000076),-71.09917741899993,42.33057961100008
Boston,2215,POINT (-71.094320677999974 42.346763943000042),-71.09432067799997,42.34676394300004
Boston,2215,POINT (-71.099259999999958 42.343430000000069),-71.09925999999996,42.34343000000007
Boston,2215,POINT (-71.106759999999952 42.347940000000051),-71.10675999999995,42.34794000000005
Jamaica Plain,2130,POINT (-71.114218306999987 42.318676813000025),-71.11421830699999,42.318676813000025
Jamaica Plain,2130,POINT (-71.112949999999955 42.318500000000029),-71.11294999999996,42.31850000000002
Jamaica Plain,2130,POINT (-71.131489999999985 42.305580000000077),-71.13148999999999,42.30558000000008
Roslindale,2131,POINT (-71.135329999999954 42.277760000000058),-71.13532999999995,42.27776000000006
Roslindale,2131,POINT (-71.14104999999995 42.281220000000076),-71.14104999999995,42.28122000000008
West Roxbury,2132,POINT (-71.15236699999997 42.292652000000032),-71.15236699999997,42.29265200000003
West Roxbury,2132,POINT (-71.156129999999962 42.263429999000039),-71.15612999999996,42.26342999900004
West Roxbury,2132,POINT (-71.162569505999954 42.271877167000071),-71.16256950599995,42.27187716700007
West Roxbury,2132,POINT (-71.174339999999972 42.282259999000075),-71.17433999999997,42.28225999900008
West Roxbury,2132,POINT (-71.158369999999934 42.282990000000041),-71.15836999999993,42.28299000000004
Brighton,2135,POINT (-71.160189999999943 42.345580000000041),-71.16018999999993,42.34558000000004
Brighton,2135,POINT (-71.161499999999933 42.35107000000005),-71.16149999999993,42.35107000000005
Brighton,2135,POINT (-71.160759999999982 42.352119999000081),-71.16075999999998,42.35211999900008
Brighton,2135,POINT (-71.155347977999952 42.347593036000035),-71.15534797799995,42.34759303600004
Brighton,2135,POINT (-71.145286044999978 42.35056411000005),-71.14528604499998,42.35056411000005
Brighton,2135,POINT (-71.145489998999949 42.349080000000072),-71.14548999899995,42.34908000000007
Brighton,2135,POINT (-71.140510000999939 42.342030001000069),-71.14051000099994,42.34203000100007
Allston,2134,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008
Allston,2134,POINT (-71.137699999999938 42.352050000000077),-71.13769999999994,42.35205000000008
Hyde Park,2136,POINT (-71.117723226999942 42.263208411000051),-71.11772322699994,42.26320841100005
Allston,2134,POINT (-71.134110000999954 42.360760000000028),-71.13411000099995,42.36076000000003
West Roxbury,2132,POINT (-71.149609998999949 42.260750001000076),-71.14960999899995,42.26075000100008
Dorchester,2125,POINT (-71.05976917199996 42.313678947000028),-71.05976917199996,42.31367894700002
Dorchester,2124,POINT (-71.086839729999951 42.282112287000075),-71.08683972999995,42.28211228700008
Dorchester,2121,POINT (-71.080661422999981 42.296551453000063),-71.08066142299998,42.29655145300006
Dorchester,2121,POINT (-71.081624640999962 42.306810098000028),-71.08162464099996,42.30681009800002
Dorchester,2125,POINT (-71.042739999999981 42.317620000000034),-71.04273999999998,42.31762000000003
Dorchester,2125,POINT (-71.043499998999948 42.318020000000047),-71.04349999899995,42.31802000000005
South Boston,2127,POINT (-71.052150634999975 42.338017224000055),-71.05215063499998,42.338017224000055
Hyde Park,2136,POINT (-71.132879999999943 42.233890000000031),-71.13287999999993,42.23389000000003
East Boston,2128,POINT (-71.005044500999986 42.391607498000042),-71.00504450099999,42.39160749800004
Jamaica Plain,2130,POINT (-71.106910085999971 42.325613458000078),-71.10691008599997,42.32561345800008
Mattapan,2126,POINT (-71.091890000999967 42.271779999000046),-71.09189000099997,42.271779999000046
Roxbury,2119,POINT (-71.099290000999986 42.314120000000059),-71.09929000099999,42.31412000000006
Dorchester,2124,POINT (-71.076790862999985 42.287783495000042),-71.07679086299999,42.28778349500004
Jamaica Plain,2130,POINT (-71.113866835999943 42.307026492000034),-71.11386683599994,42.307026492000034
Jamaica Plain,2130,POINT (-71.114481578999971 42.30719963100006),-71.11448157899997,42.30719963100007
Roxbury,2119,POINT (-71.073373068999956 42.321918807000031),-71.07337306899996,42.32191880700003
Jamaica Plain,2115,POINT (-71.106563059999985 42.333922759000075),-71.10656305999998,42.33392275900008
Hyde Park,2136,POINT (-71.117885460999958 42.263219244000027),-71.11788546099996,42.26321924400003
Boston,2109,POINT (-71.057175579999978 42.368326551000052),-71.05717557999998,42.368326551000045
Roxbury,2119,POINT (-71.092028970999934 42.317651525000031),-71.09202897099993,42.31765152500003
East Boston,2128,POINT (-71.037939496999968 42.371559760000025),-71.03793949699997,42.371559760000025
Boston,2116,POINT (-71.068148942999983 42.348761039000067),-71.06814894299998,42.348761039000074
Dorchester,2122,POINT (-71.061820573999967 42.300812669000038),-71.06182057399997,42.30081266900004
Brighton,2135,POINT (-71.145960439999953 42.350432056000045),-71.14596043999995,42.350432056000045
Dorchester,2121,POINT (-71.080807110999956 42.307386505000068),-71.08080711099996,42.307386505000075
